"","PLAYER_NAME","Type","Shot_Quantity","Made_Quantity","Percentage"
"1","Aaron Brooks","Cutting Layup Shot",1,1,1
"2","Aaron Brooks","Driving Bank Hook Shot",1,1,1
"3","Aaron Brooks","Driving Bank shot",1,1,1
"4","Aaron Brooks","Driving Finger Roll Layup Shot",8,6,0.75
"5","Aaron Brooks","Driving Floating Bank Jump Shot",3,2,0.666666666666667
"6","Aaron Brooks","Driving Floating Jump Shot",17,14,0.823529411764706
"7","Aaron Brooks","Driving Hook Shot",6,5,0.833333333333333
"8","Aaron Brooks","Driving Layup Shot",59,37,0.627118644067797
"9","Aaron Brooks","Driving Reverse Layup Shot",10,4,0.4
"10","Aaron Brooks","Fadeaway Jump Shot",12,7,0.583333333333333
"11","Aaron Brooks","Finger Roll Layup Shot",1,1,1
"12","Aaron Brooks","Floating Jump shot",32,13,0.40625
"13","Aaron Brooks","Hook Bank Shot",1,0,0
"14","Aaron Brooks","Hook Shot",3,1,0.333333333333333
"15","Aaron Brooks","Jump Bank Shot",4,1,0.25
"16","Aaron Brooks","Jump Shot",232,71,0.306034482758621
"17","Aaron Brooks","Layup Shot",34,4,0.117647058823529
"18","Aaron Brooks","Pullup Bank shot",1,1,1
"19","Aaron Brooks","Pullup Jump shot",23,10,0.434782608695652
"20","Aaron Brooks","Reverse Layup Shot",1,1,1
"21","Aaron Brooks","Running Jump Shot",6,3,0.5
"22","Aaron Brooks","Running Layup Shot",2,1,0.5
"23","Aaron Brooks","Running Pull-Up Jump Shot",1,0,0
"24","Aaron Brooks","Step Back Jump shot",8,2,0.25
"25","Aaron Brooks","Tip Layup Shot",1,0,0
"26","Aaron Brooks","Turnaround Jump Shot",1,1,1
"27","Aaron Gordon","Alley Oop Dunk Shot",13,13,1
"28","Aaron Gordon","Alley Oop Layup shot",1,0,0
"29","Aaron Gordon","Cutting Dunk Shot",6,6,1
"30","Aaron Gordon","Cutting Layup Shot",7,7,1
"31","Aaron Gordon","Driving Dunk Shot",7,6,0.857142857142857
"32","Aaron Gordon","Driving Finger Roll Layup Shot",5,4,0.8
"33","Aaron Gordon","Driving Floating Bank Jump Shot",2,1,0.5
"34","Aaron Gordon","Driving Floating Jump Shot",1,0,0
"35","Aaron Gordon","Driving Hook Shot",1,1,1
"36","Aaron Gordon","Driving Layup Shot",22,15,0.681818181818182
"37","Aaron Gordon","Driving Reverse Dunk Shot",2,2,1
"38","Aaron Gordon","Driving Reverse Layup Shot",7,3,0.428571428571429
"39","Aaron Gordon","Dunk Shot",17,16,0.941176470588235
"40","Aaron Gordon","Fadeaway Jump Shot",2,0,0
"41","Aaron Gordon","Finger Roll Layup Shot",2,1,0.5
"42","Aaron Gordon","Floating Jump shot",2,1,0.5
"43","Aaron Gordon","Hook Bank Shot",1,1,1
"44","Aaron Gordon","Hook Shot",8,3,0.375
"45","Aaron Gordon","Jump Bank Shot",2,0,0
"46","Aaron Gordon","Jump Shot",225,60,0.266666666666667
"47","Aaron Gordon","Layup Shot",69,27,0.391304347826087
"48","Aaron Gordon","Pullup Bank shot",1,1,1
"49","Aaron Gordon","Pullup Jump shot",33,18,0.545454545454545
"50","Aaron Gordon","Putback Dunk Shot",8,7,0.875
"51","Aaron Gordon","Putback Layup Shot",16,12,0.75
"52","Aaron Gordon","Reverse Dunk Shot",5,5,1
"53","Aaron Gordon","Reverse Layup Shot",5,2,0.4
"54","Aaron Gordon","Running Alley Oop Dunk Shot",2,2,1
"55","Aaron Gordon","Running Dunk Shot",9,9,1
"56","Aaron Gordon","Running Finger Roll Layup Shot",3,2,0.666666666666667
"57","Aaron Gordon","Running Jump Shot",5,3,0.6
"58","Aaron Gordon","Running Layup Shot",10,3,0.3
"59","Aaron Gordon","Running Pull-Up Jump Shot",2,1,0.5
"60","Aaron Gordon","Step Back Jump shot",7,1,0.142857142857143
"61","Aaron Gordon","Tip Dunk Shot",8,7,0.875
"62","Aaron Gordon","Tip Layup Shot",44,27,0.613636363636364
"63","Aaron Gordon","Turnaround Fadeaway shot",6,3,0.5
"64","Aaron Gordon","Turnaround Hook Shot",2,1,0.5
"65","Aaron Gordon","Turnaround Jump Shot",10,3,0.3
"66","Adreian Payne","Alley Oop Dunk Shot",2,2,1
"67","Adreian Payne","Cutting Dunk Shot",3,3,1
"68","Adreian Payne","Cutting Layup Shot",2,1,0.5
"69","Adreian Payne","Driving Bank Hook Shot",1,0,0
"70","Adreian Payne","Driving Bank shot",1,0,0
"71","Adreian Payne","Driving Floating Jump Shot",2,1,0.5
"72","Adreian Payne","Driving Layup Shot",5,4,0.8
